"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69109","Leading Strand Synthesis","6/494","14/8772",6.3030222998792e-05,0.00150890533845593,0.00135308899770932,"Pold3/Pold2/Pola2/Rfc3/Rfc4/Rfc5",6
"R-MMU-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","19/494","127/8772",8.22571588919635e-05,0.0019112692801368,0.00171390303202141,"Pold3/Pole/Ccna2/Ercc1/Pold2/Gen1/Rtel1/Rpa3/Rfc3/H2bc8/Timeless/Uimc1/Rfc4/Rfc5/Eme2/H2bc13/H2bc4/H2bc3/H2bc7",19
"R-MMU-5696397","Gap-filling DNA repair synthesis and ligation in GG-NER","7/494","21/8772",0.000100201436742471,0.00226168957218721,0.00202813735120852,"Pold3/Pole/Pold2/Rpa3/Rfc3/Rfc4/Rfc5",7
"R-MMU-176408","Regulation of APC/C activators between G1/S and early anaphase","8/494","28/8772",0.000109041625439038,0.00239285789157888,0.00214576064094948,"Ccna2/Bub1b/Anapc10/Cdc20/Plk1/Mad2l1/Fzr1/Cdk1",8
"R-MMU-5693538","Homology Directed Repair","19/494","130/8772",0.000113346404449021,0.00242009890580341,0.00217018862572378,"Pold3/Pole/Ccna2/Ercc1/Pold2/Gen1/Rtel1/Rpa3/Rfc3/H2bc8/Timeless/Uimc1/Rfc4/Rfc5/Eme2/H2bc13/H2bc4/H2bc3/H2bc7",19
"R-MMU-6811434","COPI-dependent Golgi-to-ER retrograde traffic","15/494","91/8772",0.000152203242952993,0.00316422531402275,0.00283747319964998,"Racgap1/Kif15/Tubb4a/Kif2c/Kif4/Kif18b/Kif11/Kif20a/Cenpe/Kif23/Kif22/Kifc1/Stx18/Tubb1/Tubb6",15
"R-MMU-5693532","DNA Double-Strand Break Repair","21/494","157/8772",0.000183021669531287,0.0037073620238389,0.00332452317394214,"Pold3/Pole/Ccna2/Ercc1/Pold2/Gen1/Rtel1/Rpa3/Rfc3/H2bc8/Timeless/Nhej1/Uimc1/Rfc4/Rfc5/Eme2/H2bc13/H2bc4/H2bc3/Poll/H2bc7",21
"R-MMU-453279","Mitotic G1-G1/S phases","18/494","126/8772",0.000228776227466523,0.00451833049246383,0.00405174739697289,"Mcm2/Pole/Ccna2/Gmnn/Pola2/Mcm4/Mcm3/Skp2/Cdc45/Mcm6/Rpa3/Cdt1/Cdkn1a/E2f2/Ppp2r2a/Ccne1/Cks1b/Rbl1",18
"R-MMU-5696400","Dual Incision in GG-NER","9/494","39/8772",0.000245872749351457,0.00473754809725978,0.00424832760753609,"Pold3/Pole/Ercc1/Pold2/Rpa3/Rfc3/Rfc4/Rfc5/Gtf2h2",9
"R-MMU-606279","Deposition of new CENPA-containing nucleosomes at the centromere","13/494","76/8772",0.000284734143451061,0.00523116217037996,0.00469096887497097,"Cenpu/Cenpa/Mis18bp1/Cenpk/Cenpn/H2bc8/H2ac11/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/H2bc7",13
"R-MMU-774815","Nucleosome assembly","13/494","76/8772",0.000284734143451061,0.00523116217037996,0.00469096887497097,"Cenpu/Cenpa/Mis18bp1/Cenpk/Cenpn/H2bc8/H2ac11/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/H2bc7",13
"R-MMU-69183","Processive synthesis on the lagging strand","5/494","13/8772",0.000489571902433854,0.00879004097551692,0.00788234187411444,"Pold3/Pold2/Pola2/Lig1/Rpa3",5
"R-MMU-69206","G1/S Transition","15/494","103/8772",0.000607973732505094,0.0104522089760785,0.00937286694323898,"Mcm2/Pole/Ccna2/Gmnn/Pola2/Mcm4/Mcm3/Skp2/Cdc45/Mcm6/Rpa3/Cdt1/Cdkn1a/Ccne1/Cks1b",15
"R-MMU-5683826","Surfactant metabolism","6/494","20/8772",0.000608609636581788,0.0104522089760785,0.00937286694323898,"Slc34a2/Sftpb/Abca3/Sftpd/Adgrf5/Napsa",6
"R-MMU-194840","Rho GTPase cycle","17/494","128/8772",0.000800611103245548,0.0134570802460422,0.0120674417129732,"Arhgap11a/Racgap1/A2m/Arhgef3/Arhgap32/Arhgef10/Arhgap25/Arhgap8/Arhgef18/Vav2/Gmip/Depdc1b/Arhgap20/Ect2/Bcr/Arhgap30/Srgap3",17
"R-MMU-110314","Recognition of DNA damage by PCNA-containing replication complex","7/494","29/8772",0.000907750999387943,0.0149400685315932,0.013397289969037,"Pold3/Pole/Pold2/Rpa3/Rfc3/Rfc4/Rfc5",7
"R-MMU-69273","Cyclin A/B1/B2 associated events during G2/M transition","6/494","22/8772",0.00106400273042655,0.0171543297354484,0.0153828966181969,"Ccnb2/Ccna2/Plk1/Cdc25c/Ppp2r2a/Cdk1",6
"R-MMU-5656169","Termination of translesion DNA synthesis","7/494","31/8772",0.00138680849127978,0.0219115741622206,0.0196488866238167,"Pold3/Pole/Pold2/Rpa3/Rfc3/Rfc4/Rfc5",7
"R-MMU-73894","DNA Repair","31/494","314/8772",0.00156629084326271,0.024262152277991,0.0217567334884583,"Pold3/Pole/Ccna2/Ercc1/Pold2/Ino80b/Lig1/Neil3/Fancm/Polr2d/Ube2t/Gen1/Rtel1/Ino80c/Rpa3/Rfc3/H2bc8/Timeless/Nhej1/Uimc1/H2ac11/Rfc4/Rfc5/Eme2/H2bc13/H2bc4/Gtf2h2/Neil1/H2bc3/Poll/H2bc7",31
"R-MMU-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","10/494","61/8772",0.00196938514099402,0.0290773350067021,0.0260746788267962,"Pold3/Pole/Pold2/Lig1/Polr2d/Rpa3/Rfc3/Rfc4/Rfc5/Gtf2h2",10
"R-MMU-69481","G2/M Checkpoints","19/494","163/8772",0.00198532677730175,0.0290773350067021,0.0260746788267962,"Ccnb2/Mcm2/Mcm4/Mcm3/Cdc25c/Cdc45/Mcm6/Rpa3/Rfc3/H2bc8/Uimc1/Gtse1/Rfc4/Rfc5/Cdk1/H2bc13/H2bc4/H2bc3/H2bc7",19
"R-MMU-2132295","MHC class II antigen presentation","14/494","104/8772",0.0019875646713442,0.0290773350067021,0.0260746788267962,"Racgap1/Kif15/Tubb4a/Kif2c/Kif4/Kif11/Kif20a/Cenpe/Kif23/Kif22/Dnm1/Tubb1/Tubb6/Ctss",14
"R-MMU-6791312","TP53 Regulates Transcription of Cell Cycle Genes","7/494","33/8772",0.00204339745190022,0.0293506179454759,0.026319741342179,"Ccna2/Cdc25c/Cdkn1a/Aurka/Ccne1/E2f8/Cdk1",7
"R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","15/494","116/8772",0.00209282240236296,0.0295237446047632,0.0264749901652307,"Apol9a/Igfbp6/Fam20c/C3/Cp/Igfbp3/Msln/Trf/Dnajc3/Penk/Cdh2/Igfbp2/Apol7c/Apol7b/Igf1",15
"R-MMU-8854518","AURKA Activation by TPX2","11/494","72/8772",0.00214474868985613,0.0297254642980059,0.0266558793771592,"Tubb4a/Plk4/Plk1/Cep70/Haus2/Cep135/Cep72/Aurka/Hmmr/Cdk1/Nde1",11
"R-MMU-5685942","HDR through Homologous Recombination (HRR)","10/494","62/8772",0.00223282568105926,0.0304126256558072,0.027272081367566,"Pold3/Pole/Pold2/Gen1/Rtel1/Rpa3/Rfc3/Rfc4/Rfc5/Eme2",10
"R-MMU-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","11/494","73/8772",0.00240050438650707,0.0321423468701794,0.0288231838023061,"Pold3/Pole/Ercc1/Pold2/Lig1/Polr2d/Rpa3/Rfc3/Rfc4/Rfc5/Gtf2h2",11
"R-MMU-6782135","Dual incision in TC-NER","10/494","63/8772",0.00252387660218605,0.0329160896967003,0.0295170264701923,"Pold3/Pole/Ercc1/Pold2/Polr2d/Rpa3/Rfc3/Rfc4/Rfc5/Gtf2h2",10
"R-MMU-69275","G2/M Transition","20/494","179/8772",0.00254162211582116,0.0329160896967003,0.0295170264701923,"Ccnb2/Ccna2/Tubb4a/Plk4/Plk1/Cep70/Cdc25c/Haus2/Bora/Cep135/Cep72/Cdkn1a/Aurka/Ppp2r2a/Gtse1/Hmmr/Tubb1/Tubb6/Cdk1/Nde1",20
"R-MMU-453274","Mitotic G2-G2/M phases","20/494","181/8772",0.00289581594663138,0.0368982999651418,0.0330880158248374,"Ccnb2/Ccna2/Tubb4a/Plk4/Plk1/Cep70/Cdc25c/Haus2/Bora/Cep135/Cep72/Cdkn1a/Aurka/Ppp2r2a/Gtse1/Hmmr/Tubb1/Tubb6/Cdk1/Nde1",20
"R-MMU-2565942","Regulation of PLK1 Activity at G2/M Transition","12/494","86/8772",0.00301211089540969,0.0377709144027564,0.0338705201772886,"Ccnb2/Tubb4a/Plk4/Plk1/Cep70/Haus2/Bora/Cep135/Cep72/Aurka/Cdk1/Nde1",12
"R-MMU-983231","Factors involved in megakaryocyte development and platelet production","15/494","121/8772",0.00317221845204785,0.0391570715174657,0.0351135364840165,"Racgap1/Kif15/Tubb4a/Kif2c/Kif4/Kif18b/Kif11/Kif20a/Cenpe/Gata2/Kif23/Kif22/Kifc1/Tubb1/Tubb6",15
"R-MMU-5696399","Global Genome Nucleotide Excision Repair (GG-NER)","11/494","76/8772",0.00331915952271228,0.0403405541991185,0.0361748074297225,"Pold3/Pole/Ercc1/Pold2/Ino80b/Ino80c/Rpa3/Rfc3/Rfc4/Rfc5/Gtf2h2",11
"R-MMU-5358565","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)","4/494","12/8772",0.00342212964982138,0.0403504839307297,0.0361837117726597,"Pold3/Pold2/Lig1/Rpa3",4
"R-MMU-69166","Removal of the Flap Intermediate","4/494","12/8772",0.00342212964982138,0.0403504839307297,0.0361837117726597,"Pold3/Pold2/Pola2/Rpa3",4
